"","f","m"
"mother",0.000849988733768181,0.00347339838166261
"father",0.0112878570024662,0.0113344842544054
"sister",0.00801193753900653,0.00436688659218365
"brother",0.0332053842229949,0.0301729987453868
"spouse",0.0043472740358963,0.00078339990345766
"adult child",0.0169602401420906,0.00634223110220566
